title,year,category,embodiments,task,shared_component,embodiment_specific,interface,data_source,evaluation,real_robot,code,url,why_it_matters
Open X-Embodiment / RT-X,2023-2024,general-foundation,"22+ robot embodiments",multi-task robotic learning,"backbone + large multi-robot dataset","robot-specific execution",tokenized robotic actions,"real robot datasets",multi-embodiment transfer,yes,no,https://robotics-transformer-x.github.io/,"The default starting point for multi-embodiment learning."
Octo,2024,general-foundation,"multiple robot arms and mobile manipulators",generalist policy,"shared policy backbone","downstream finetuning",chunked action prediction,"robot demos",transfer + finetuning,yes,yes,https://arxiv.org/abs/2405.12213,"A practical open-source baseline for generalist robot policies."
Scaling Cross-Embodied Learning / CrossFormer,2024,general-foundation,"manipulation + navigation + locomotion embodiments",cross-embodiment policy learning,"shared transformer policy","embodiment conditioning",shared sequence model,"mixed robot datasets",cross-embodiment generalization,mixed,no,https://arxiv.org/abs/2408.11812,"Shows a one-policy framing across broad embodiment families."
Being-H0.5,2026,general-foundation,"humans + 30 robotic embodiments",cross-embodiment VLA learning,"shared human-centric VLA backbone + shared motor primitives","embodiment-specific experts and gating",unified action space,"human interaction traces + robot data",cross-embodiment generalization,mixed,no,https://arxiv.org/abs/2601.12993,"Strongest recent framing for human traces as universal prior."
RDT2,2026,general-foundation,"novel robot platforms via UMI-style data",open-vocabulary manipulation and dexterous tasks,"7B VLM-based robotic foundation model","robot-specific deployment through embodiment-agnostic UMI interface",UMI-style action interface with RVQ and flow matching,"10000+ hours UMI demonstrations",zero-shot generalization to unseen objects scenes instructions and robotic platforms,yes,no,https://arxiv.org/abs/2602.03310,"Tests how far scaled UMI data can push zero-shot cross-embodiment VLA deployment."
GR00T N1,2025,general-foundation,"humanoids + other robots",generalist humanoid control,"foundation model","robot-specific deployment stack",multimodal action modeling,"human videos + robot data + synthetic",multi-embodiment benchmarking,yes,no,https://arxiv.org/abs/2503.14734,"Industrial evidence that humanoid learning is becoming multi-embodiment."
Manipulator-Independent Representations for Visual Imitation,2021,representation-transfer,"humans + multiple manipulators",cross-embodiment visual imitation,"environment-centric representation","robot policy learning",manipulator-independent visual representation,"demonstration videos",cross-embodiment imitation in RL,mixed,no,https://arxiv.org/abs/2103.09016,"A foundational paper on transfer via embodiment-agnostic visual representations."
XIRL,2021,representation-transfer,"multiple expert embodiments",cross-embodiment reward learning,"task-progress embedding","robot policy optimization",learned reward from embeddings,"offline videos",unseen embodiment reward transfer,mixed,no,https://arxiv.org/abs/2106.03911,"A foundational paper for cross-embodiment reward learning."
XSkill,2023,representation-transfer,"multiple robot embodiments",cross-embodiment skill discovery,"skill representation","robot policy conditioned on skills",cross-embodiment skill space,"robot trajectories",cross-embodiment transfer,mixed,no,https://arxiv.org/abs/2307.09955,"A strong skill-centric representation learning paper."
WHIRL,2022,human-to-robot,"humans + robot",real-world imitation from wild videos,"visual task structure","robot execution policy",video-conditioned imitation,"human videos in the wild",real-world one-shot imitation,yes,no,https://arxiv.org/abs/2207.09450,"A key real-world bridge from human video to robot imitation."
Structure-Aware Transformer Policy for Inhomogeneous Multi-Task Reinforcement Learning,2022,morphology-aware,"multiple structured agents",multi-task and transfer RL,"structure-aware transformer policy","task-specific embodiment realization",morphology-aware transformer embeddings,"simulation",multi-task and transfer learning across different action/state dimensions,no,no,https://openreview.net/forum?id=fy_XRVHqly,"An early transformer-based morphology-aware policy for inhomogeneous transfer."
MY BODY IS A CAGE,2021,morphology-aware,"multiple incompatible continuous-control bodies",incompatible control,"shared transformer policy without explicit morphology graph reliance","task-specific state and action dimensionality",set/sequence-style body representation for incompatible control,"simulation reinforcement learning tasks",multi-body incompatible control benchmarking,no,yes,https://arxiv.org/abs/2010.01856,"Important cautionary evidence that explicit morphology graphs do not automatically improve shared control."
